id_contrato,id_cliente,data_referencia,inadimplente_30d,n_parcelas,valor_parcela,renda_declarada_tratada,canal_venda,tenure_dias,comprometimento_renda,qtd_contratos_parcelados,qtd_compras,ticket_medio_compras,qtd_compra_informatica,qtd_compra_moveis,qtd_compra_eletro,qtd_compra_cama_mesa_banho,dias_desde_ultima_compra,qtd_parcelas_vencidas,qtd_parcelas_pagas,qtd_parcelas_pendentes,qtd_atrasos_positivos,qtd_atrasos_pagos,payment_late_rate,payment_mean_delay,payment_max_delay,payment_sum_delay,payment_mean_delay_paid,payment_max_delay_paid,qtd_sac_telefone,qtd_sac_whatsapp,qtd_sac_loja,qtd_sac_site,score_bureau,tem_consulta_bureau,dias_desde_consulta_bureau
C00023,CLI01990,2026-01-21,1,18,122.84,4230.53,Loja física,113,0.029036550975882456,4,4,1021.1125000000001,2,1,1,0,222.0,3,3,0,1,1,0.3333333333333333,5.0,15,15,15.0,15.0,0,1,0,0,721,1,113
C00024,CLI01400,2026-01-20,0,10,210.78,3024.79,Loja física,143,0.06968417642216485,2,3,1174.6133333333335,2,1,0,0,252.0,4,4,0,0,0,0.0,0.0,0,0,,,0,0,0,0,729,1,144
C00025,CLI02088,2026-01-12,0,18,96.73,1604.78,Loja física,323,0.060276174927404384,1,4,1202.115,1,1,1,1,112.0,10,10,0,2,2,0.2,0.2,1,2,1.0,1.0,0,0,0,0,851,1,326
C00026,CLI00358,2026-02-01,0,24,232.13,5892.46,Televendas,563,0.039394412520407436,2,3,576.93,1,1,0,1,474.0,18,18,0,5,5,0.2777777777777778,0.4444444444444444,2,8,1.6,2.0,1,0,2,0,694,1,565
C00027,CLI01773,2025-11-20,1,10,1400.0,3401.61,Loja física,293,0.4115698154697334,3,4,637.95,2,1,0,1,240.0,9,9,0,8,8,0.8888888888888888,13.0,21,117,14.625,21.0,0,0,0,0,581,1,296
C00028,CLI02656,2025-08-25,0,10,419.23,3303.66,Loja física,293,0.12689865179830856,1,1,435.49,0,1,0,0,788.0,9,9,0,4,4,0.4444444444444444,6.333333333333333,23,57,14.25,23.0,1,3,0,1,705,1,293
C00029,CLI01900,2026-01-10,1,12,65.99,4234.96,Site,203,0.015582201484783799,1,2,1769.715,0,1,1,0,99.0,6,6,0,3,3,0.5,7.666666666666667,26,46,15.333333333333334,26.0,2,0,1,0,662,1,205
C00030,CLI01614,2026-01-24,0,18,54.97,2915.72,Televendas,413,0.018852976280301265,2,3,367.3833333333334,1,0,2,0,256.0,13,13,0,6,6,0.46153846153846156,2.923076923076923,18,38,6.333333333333333,18.0,0,0,0,0,711,1,416
C00031,CLI02438,2026-01-26,1,10,123.08,4657.57,Televendas,293,0.02642579714314546,2,4,1274.0049999999999,1,1,1,1,78.0,9,9,0,3,3,0.3333333333333333,0.5555555555555556,3,5,1.6666666666666667,3.0,0,1,1,0,622,1,293
C00032,CLI00209,2025-02-21,1,6,563.86,1384.1,Loja física,173,0.40738385954772055,1,1,527.63,0,0,0,1,226.0,5,5,0,5,5,1.0,14.2,22,71,14.2,22.0,0,1,0,1,490,1,176
C00033,CLI01853,2026-02-05,0,24,89.9,4443.84,Televendas,233,0.02023025131417873,2,8,814.50125,1,2,2,3,100.0,7,7,0,0,0,0.0,0.0,0,0,,,0,1,0,0,881,1,235
C00034,CLI01907,2025-08-09,1,12,167.45,1801.53,Loja física,353,0.09294877132215394,1,2,708.6949999999999,0,0,2,0,214.0,11,11,0,6,6,0.5454545454545454,8.909090909090908,23,98,16.333333333333332,23.0,0,0,0,0,657,1,355
C00035,CLI00344,2026-01-19,0,12,117.64,1582.5,Loja física,233,0.07433807266982623,2,1,422.03,0,0,1,0,341.0,7,7,0,5,5,0.7142857142857143,3.5714285714285716,11,25,5.0,11.0,0,0,0,0,773,1,234
C00036,CLI01444,2025-07-16,1,6,708.69,2934.54,Loja física,173,0.24149951951583556,3,2,703.865,1,0,1,0,346.0,5,5,0,5,5,1.0,14.6,21,73,14.6,21.0,0,0,0,0,617,1,175
C00037,CLI02115,2025-09-12,0,6,243.19,4504.23,Loja física,173,0.05399147024019644,2,4,1403.0525,1,0,2,1,9.0,5,5,0,2,2,0.4,0.8,2,4,2.0,2.0,0,0,0,0,957,1,175
C00038,CLI01080,2026-01-14,0,24,73.95,1814.39,Televendas,563,0.04075749976576149,1,1,473.09,0,0,1,0,717.0,18,18,0,6,6,0.3333333333333333,2.5,17,45,7.5,17.0,0,0,1,0,781,1,566
C00039,CLI00003,2026-01-10,1,12,396.62,2902.17,Loja física,353,0.13666325542611218,2,5,322.07,2,0,2,1,85.0,11,11,0,7,7,0.6363636363636364,3.909090909090909,20,43,6.142857142857143,20.0,0,0,0,0,647,1,355
C00040,CLI02694,2025-08-06,1,6,206.05,1488.84,Loja física,173,0.13839633540205798,2,2,826.4849999999999,0,0,1,1,163.0,5,5,0,4,4,0.8,5.6,16,28,7.0,16.0,1,0,0,0,713,1,175
C00041,CLI00134,2025-11-06,0,12,84.41,3819.5,Loja física,353,0.02209975127634507,3,7,844.4585714285714,2,0,3,2,109.0,11,11,0,1,1,0.09090909090909091,0.18181818181818182,2,2,2.0,2.0,1,0,0,0,738,1,354
C00042,CLI00286,2026-02-05,0,12,96.18,2405.54,Loja física,173,0.0399827065856315,3,8,805.08875,2,4,0,2,53.0,5,5,0,2,2,0.4,0.6,2,3,1.5,2.0,0,0,0,0,665,1,175
C00043,CLI01319,2026-01-22,1,12,176.88,2844.25,Loja física,83,0.06218862617561747,1,4,663.015,1,1,1,1,216.0,2,2,0,1,1,0.5,0.5,1,1,1.0,1.0,0,0,0,0,645,1,83
C00044,CLI01100,2026-01-10,0,18,61.6,3815.58,Loja física,503,0.016144334544158426,5,6,782.315,1,2,3,0,77.0,16,16,0,9,9,0.5625,9.6875,24,155,17.22222222222222,24.0,0,0,1,0,828,1,505
C00045,CLI02448,2026-01-26,0,12,399.09,2340.61,Loja física,323,0.1705068336886538,1,3,1802.1899999999998,1,1,0,1,205.0,10,10,0,5,5,0.5,5.7,26,57,11.4,26.0,0,1,0,0,717,1,326
C00046,CLI00660,2025-10-05,1,6,287.02,1378.87,Televendas,173,0.2081559537882469,2,2,473.18499999999995,0,0,2,0,125.0,5,5,0,3,3,0.6,6.0,24,30,10.0,24.0,0,0,0,0,779,1,176
C00047,CLI00469,2026-01-08,0,12,165.67,4675.5,Site,323,0.03543364346059245,2,2,750.145,1,0,1,0,718.0,10,10,0,4,4,0.4,0.5,2,5,1.25,2.0,1,0,0,0,793,1,323
C00048,CLI00680,2026-01-29,1,18,299.17,1311.11,Loja física,83,0.22818070184805245,2,1,414.22,0,1,0,0,827.0,2,2,0,2,2,1.0,8.5,10,17,8.5,10.0,0,0,1,0,677,1,83
C00049,CLI01263,2025-11-25,1,12,133.95,4080.78,Loja física,353,0.032824607060414915,1,0,,0,0,0,0,,11,11,0,4,4,0.36363636363636365,3.727272727272727,23,41,10.25,23.0,0,0,0,0,718,1,355
C00050,CLI02742,2025-11-22,1,12,129.52,2104.46,Site,353,0.061545479600467586,1,0,,0,0,0,0,,11,11,0,5,5,0.45454545454545453,7.0,23,77,15.4,23.0,0,0,1,0,714,1,355
C00051,CLI00048,2026-02-01,0,24,71.72,3085.28,Loja física,443,0.023245864232743867,2,1,931.25,1,0,0,0,51.0,14,14,0,3,3,0.21428571428571427,0.35714285714285715,2,5,1.6666666666666667,2.0,0,1,0,0,659,1,443
C00052,CLI01279,2026-01-24,1,12,126.96,1604.94,Site,323,0.07910576096302664,2,3,499.92,3,0,0,0,290.0,10,10,0,4,4,0.4,2.8,22,28,7.0,22.0,0,0,2,0,626,1,324
C00053,CLI00780,2026-01-26,0,18,90.0,1815.05,Site,113,0.04958541087022396,1,0,,0,0,0,0,,3,3,0,2,2,0.6666666666666666,16.666666666666668,26,50,25.0,26.0,0,2,0,0,658,1,116
C00054,CLI02689,2026-01-10,0,12,522.2,5109.21,Loja física,113,0.1022075819940852,2,1,334.28,0,0,0,1,102.0,3,3,0,1,1,0.3333333333333333,0.6666666666666666,2,2,2.0,2.0,0,0,0,0,642,1,116
C00055,CLI01133,2026-01-17,1,10,622.74,2864.29,Loja física,203,0.21741513603720294,2,6,1150.685,0,3,2,1,160.0,6,6,0,3,3,0.5,10.333333333333334,22,62,20.666666666666668,22.0,0,1,0,0,767,1,206
C00056,CLI01048,2025-12-07,1,6,361.63,2054.17,Loja física,173,0.1760467731492525,3,3,556.7399999999999,1,0,1,1,77.0,5,4,1,4,3,0.8,16.2,24,81,19.333333333333332,24.0,1,1,2,0,641,1,173
C00057,CLI02734,2026-01-11,0,12,141.27,2176.0,Loja física,323,0.064921875,2,5,821.7180000000001,2,0,1,2,411.0,10,10,0,1,1,0.1,0.1,1,1,1.0,1.0,0,0,0,0,855,1,326
C00058,CLI00827,2026-01-08,0,10,134.66,1692.27,Loja física,113,0.07957359050269756,2,2,1026.25,0,0,0,2,635.0,3,3,0,1,1,0.3333333333333333,0.6666666666666666,2,2,2.0,2.0,0,0,0,0,734,1,115
C00059,CLI01924,2026-02-03,0,18,119.89,4719.74,Loja física,263,0.02540182298177442,3,4,1122.4775,2,0,0,2,214.0,8,8,0,5,5,0.625,9.625,22,77,15.4,22.0,0,0,0,0,668,1,263
C00060,CLI01490,2026-01-11,1,18,54.7,1354.76,Loja física,83,0.04037615518615844,1,2,1323.01,0,1,0,1,82.0,2,2,0,1,1,0.5,12.0,24,24,24.0,24.0,0,0,1,0,725,1,86
C00061,CLI01818,2025-01-04,0,6,829.27,4709.41,Loja física,173,0.17608787512660823,1,1,500.45,1,0,0,0,146.0,5,5,0,1,1,0.2,4.4,22,22,22.0,22.0,0,0,0,0,665,1,174
C00062,CLI00583,2026-02-03,1,18,115.49,2731.73,Loja física,143,0.042277238233646805,1,2,355.415,0,1,0,1,477.0,4,4,0,2,2,0.5,3.75,14,15,7.5,14.0,0,0,0,0,623,1,144
C00063,CLI01770,2026-01-24,1,24,177.94,4935.69,Site,413,0.03605169692586042,2,3,2007.6333333333332,3,0,0,0,209.0,13,13,0,9,9,0.6923076923076923,5.076923076923077,19,66,7.333333333333333,19.0,0,0,2,0,613,1,415
C00065,CLI01318,2026-01-21,0,12,176.22,3193.19,Televendas,323,0.0551861931172276,2,3,554.2266666666667,1,0,1,1,240.0,10,10,0,6,6,0.6,4.7,23,47,7.833333333333333,23.0,0,0,1,0,548,1,324
C00068,CLI01173,2026-02-04,1,24,91.79,2957.23,Site,593,0.031039181937150648,3,8,722.0912500000001,0,5,3,0,71.0,19,19,0,6,6,0.3157894736842105,1.368421052631579,13,26,4.333333333333333,13.0,0,0,0,0,735,1,593
C00069,CLI01163,2025-06-11,1,12,127.2,4655.7,Site,353,0.027321348025001614,2,5,520.588,1,1,1,2,249.0,11,11,0,5,5,0.45454545454545453,4.0,26,44,8.8,26.0,0,0,0,0,845,1,356
C00070,CLI00493,2026-01-12,0,24,29.62,2628.07,Loja física,473,0.011270628255716172,3,5,721.626,0,2,2,1,349.0,15,15,0,7,7,0.4666666666666667,1.6666666666666667,16,25,3.5714285714285716,16.0,0,1,1,1,765,1,474
C00071,CLI00304,2026-01-10,0,24,51.86,1388.61,Loja física,233,0.037346699217202815,1,2,929.29,1,0,1,0,242.0,7,7,0,3,3,0.42857142857142855,2.5714285714285716,15,18,6.0,15.0,1,0,1,0,826,1,234
C00072,CLI00293,2026-01-11,1,12,269.32,1761.12,Loja física,353,0.15292541110202598,2,1,431.35,0,0,1,0,819.0,11,11,0,11,11,1.0,13.181818181818182,22,145,13.181818181818182,22.0,1,0,3,0,424,1,356
C00073,CLI01870,2025-08-21,1,10,84.99,1209.82,Loja física,293,0.07025011985254005,3,3,1120.2166666666667,0,2,1,0,417.0,9,9,0,5,5,0.5555555555555556,10.333333333333334,26,93,18.6,26.0,0,0,0,1,662,1,294
C00074,CLI02399,2025-06-19,1,6,563.28,5321.92,Loja física,173,0.10584150081173711,2,2,783.28,0,0,1,1,356.0,5,5,0,3,3,0.6,5.4,23,27,9.0,23.0,0,0,0,0,708,1,173
C00075,CLI01352,2026-02-04,0,18,126.56,6092.87,Loja física,413,0.02077182017669834,2,3,1171.5133333333333,0,2,0,1,80.0,13,13,0,6,6,0.46153846153846156,1.9230769230769231,16,25,4.166666666666667,16.0,0,0,0,2,724,1,415
C00076,CLI00426,2026-01-21,0,24,35.54,3014.02,Loja física,563,0.011791560772655788,3,1,316.84,0,0,0,1,734.0,18,18,0,3,3,0.16666666666666666,0.16666666666666666,1,3,1.0,1.0,0,0,0,0,790,1,563
C00077,CLI02441,2026-01-23,1,18,55.04,4063.94,Loja física,113,0.013543507039966141,1,2,778.635,0,1,0,1,482.0,3,3,0,3,3,1.0,13.666666666666666,18,41,13.666666666666666,18.0,0,0,0,0,487,1,115
C00078,CLI02589,2026-01-23,0,12,160.05,2682.19,Televendas,83,0.059671387932995056,4,3,970.4333333333333,0,1,2,0,237.0,2,2,0,0,0,0.0,0.0,0,0,,,0,1,0,0,604,1,83
C00080,CLI00033,2026-01-17,0,12,372.23,1956.31,Loja física,203,0.1902714804913332,1,0,,0,0,0,0,,6,6,0,4,4,0.6666666666666666,10.5,25,63,15.75,25.0,0,1,0,0,672,1,204
C00081,CLI00724,2024-12-26,1,6,446.69,3010.44,Site,173,0.14838030321149068,1,1,1563.83,0,0,0,1,100.0,5,5,0,3,3,0.6,6.0,13,30,10.0,13.0,0,0,0,0,548,1,173
C00083,CLI00279,2025-05-08,1,10,619.74,2671.85,Loja física,293,0.23195164399199059,2,1,434.65,0,0,0,1,808.0,9,9,0,8,8,0.8888888888888888,12.333333333333334,21,111,13.875,21.0,1,2,0,0,505,1,295
C00086,CLI00163,2026-01-12,0,10,95.1,4398.58,Loja física,263,0.0216206139254032,1,2,864.365,1,0,0,1,263.0,8,8,0,1,1,0.125,0.125,1,1,1.0,1.0,0,0,0,0,725,1,266
C00087,CLI01860,2025-09-03,1,12,389.86,2821.12,Televendas,353,0.13819334165154265,2,2,1419.3049999999998,1,0,0,1,404.0,11,11,0,7,7,0.6363636363636364,3.6363636363636362,17,40,5.714285714285714,17.0,1,0,1,0,622,1,354
C00088,CLI01840,2025-08-28,0,12,202.07,4141.75,Televendas,353,0.048788555562262324,2,1,635.38,0,0,0,1,188.0,11,11,0,3,3,0.2727272727272727,0.2727272727272727,1,3,1.0,1.0,0,0,0,0,689,1,356
C00089,CLI02456,2026-01-15,1,12,179.28,3329.77,Site,203,0.05384155662403109,2,3,1096.5366666666666,0,2,1,0,7.0,6,6,0,4,4,0.6666666666666666,3.8333333333333335,15,23,5.75,15.0,0,0,0,0,738,1,204
C00090,CLI01492,2026-01-21,1,18,142.22,3097.3,Site,173,0.045917411939431114,2,4,859.4200000000001,1,1,1,1,65.0,5,5,0,0,0,0.0,0.0,0,0,,,0,0,1,0,641,1,176
C00091,CLI02589,2026-01-10,0,18,96.6,4460.33,Loja física,263,0.021657590357664118,4,3,970.4333333333333,0,1,2,0,224.0,8,8,0,2,2,0.25,2.625,20,21,10.5,20.0,0,0,0,0,855,1,264
C00092,CLI02494,2025-11-16,0,10,127.48,2395.12,Loja física,293,0.053224890610908855,3,3,1172.5666666666666,0,2,1,0,379.0,9,9,0,1,1,0.1111111111111111,1.2222222222222223,11,11,11.0,11.0,0,0,0,0,782,1,294
C00093,CLI00947,2026-01-25,0,12,172.4,3643.11,Loja física,113,0.04732220547828641,1,1,2286.2,1,0,0,0,776.0,3,3,0,1,1,0.3333333333333333,0.3333333333333333,1,1,1.0,1.0,1,0,0,0,844,1,114
C00094,CLI02765,2026-01-22,0,12,40.49,3843.89,Loja física,113,0.010533600077005326,3,3,1412.6499999999999,0,0,3,0,364.0,3,3,0,1,1,0.3333333333333333,5.666666666666667,17,17,17.0,17.0,0,0,0,0,616,1,113
C00095,CLI02068,2026-01-20,1,10,123.65,1075.49,Televendas,83,0.11497085049605296,1,1,347.75,1,0,0,0,439.0,2,2,0,1,1,0.5,6.5,13,13,13.0,13.0,0,0,0,0,749,1,84
C00096,CLI00502,2026-01-20,0,12,57.37,1129.48,Loja física,203,0.050793285405673405,2,1,490.93,0,1,0,0,239.0,6,6,0,0,0,0.0,0.0,0,0,,,0,0,0,0,854,1,203
C00097,CLI00327,2025-02-19,0,6,161.07,2832.47,Loja física,173,0.056865562565534676,1,0,,0,0,0,0,,5,5,0,1,1,0.2,0.2,1,1,1.0,1.0,0,0,1,0,595,1,173
C00099,CLI02096,2026-01-23,0,6,393.7,5183.08,Loja física,113,0.07595869637358482,2,1,1440.3,0,1,0,0,426.0,3,3,0,1,1,0.3333333333333333,0.6666666666666666,2,2,2.0,2.0,0,0,0,0,793,1,116
C00100,CLI01724,2025-07-14,0,12,170.75,2589.65,Televendas,353,0.06593555113625393,2,0,,0,0,0,0,,11,11,0,3,3,0.2727272727272727,1.8181818181818181,17,20,6.666666666666667,17.0,1,0,0,0,730,1,354
C00101,CLI00241,2026-01-16,1,12,299.29,2157.63,Loja física,293,0.13871238349485315,2,2,893.87,2,0,0,0,43.0,9,9,0,5,5,0.5555555555555556,2.5555555555555554,14,23,4.6,14.0,0,0,2,0,783,1,293
C00102,CLI00333,2025-08-27,0,10,225.65,2616.64,Televendas,293,0.08623654763360647,3,5,764.7700000000001,1,2,2,0,33.0,9,9,0,4,4,0.4444444444444444,0.8888888888888888,2,8,2.0,2.0,0,0,0,0,855,1,295
C00103,CLI00015,2026-01-26,0,18,57.76,3705.84,Loja física,233,0.015586209874144592,1,3,763.61,1,0,0,2,80.0,7,7,0,1,1,0.14285714285714285,0.2857142857142857,2,2,2.0,2.0,0,0,0,0,742,1,233
C00104,CLI02155,2026-01-21,1,10,334.44,2117.18,Site,263,0.15796484002304953,1,3,883.4699999999999,1,0,1,1,46.0,8,8,0,7,7,0.875,12.125,24,97,13.857142857142858,24.0,1,1,1,0,484,1,263
C00105,CLI01481,2025-12-22,0,18,117.49,3644.85,Site,533,0.032234522682689275,2,3,748.2233333333334,0,2,1,0,92.0,17,17,0,4,4,0.23529411764705882,2.2941176470588234,22,39,9.75,22.0,0,1,0,0,716,1,533
C00106,CLI00130,2026-01-15,0,12,125.51,5081.81,Televendas,233,0.024697893073530888,1,3,703.0433333333334,0,0,0,3,192.0,7,7,0,3,3,0.42857142857142855,0.5714285714285714,2,4,1.3333333333333333,2.0,0,1,0,0,858,1,234
C00107,CLI00028,2026-01-12,1,18,106.91,2621.68,Loja física,443,0.04077919501998718,1,1,4078.99,0,0,1,0,279.0,14,14,0,8,8,0.5714285714285714,7.5,26,105,13.125,26.0,1,0,0,0,541,1,444
C00108,CLI01571,2026-01-28,0,12,54.7,4392.36,Televendas,173,0.012453441885455656,2,4,1277.825,0,3,0,1,260.0,5,5,0,0,0,0.0,0.0,0,0,,,1,0,1,0,737,1,174
C00109,CLI01385,2025-12-22,1,6,154.35,5320.7,Loja física,173,0.0290093408762005,4,5,1241.2400000000002,1,2,1,1,80.0,5,5,0,3,3,0.6,4.0,13,20,6.666666666666667,13.0,0,0,0,0,536,1,176
C00110,CLI01984,2025-06-12,0,10,116.28,2995.31,Loja física,293,0.038820689678196914,2,5,1500.93,1,3,0,1,5.0,9,9,0,4,4,0.4444444444444444,2.3333333333333335,16,21,5.25,16.0,0,2,0,0,1000,1,295
C00111,CLI02647,2026-01-12,1,18,88.44,1331.6,Loja física,323,0.0664163412436167,2,2,728.8,0,1,1,0,122.0,10,10,0,6,6,0.6,3.7,16,37,6.166666666666667,16.0,0,0,0,0,814,1,323
C00112,CLI01169,2025-04-24,1,6,275.62,5288.74,Loja física,173,0.05211449229873278,2,2,341.11,0,0,1,1,466.0,5,5,0,2,2,0.4,4.8,13,24,12.0,13.0,0,0,0,0,729,1,174
C00113,CLI02539,2026-01-09,1,12,156.01,1937.37,Loja física,233,0.08052669340394453,2,4,1364.905,0,0,1,3,242.0,7,7,0,6,6,0.8571428571428571,9.714285714285714,24,68,11.333333333333334,24.0,0,0,0,0,570,1,235
C00114,CLI01095,2026-01-24,1,10,151.15,985.99,Site,173,0.15329770078804045,2,4,1353.6799999999998,1,1,0,2,133.0,5,5,0,4,4,0.8,6.6,19,33,8.25,19.0,1,0,0,0,536,1,176
C00115,CLI00207,2026-01-18,0,12,169.89,1507.03,Loja física,83,0.11273166426680291,2,4,1117.6775,1,2,0,1,51.0,2,2,0,2,2,1.0,8.5,16,17,8.5,16.0,0,0,0,0,627,1,86
C00116,CLI02341,2026-01-26,0,10,131.03,4393.41,Loja física,83,0.02982421399323077,1,0,,0,0,0,0,,2,2,0,2,2,1.0,4.5,7,9,4.5,7.0,0,0,0,0,748,1,84
C00117,CLI02526,2026-02-02,0,18,255.02,5400.41,Loja física,263,0.0472223405259971,1,1,937.29,1,0,0,0,138.0,8,8,0,2,2,0.25,1.375,10,11,5.5,10.0,2,0,0,0,576,1,265
C00118,CLI02354,2026-01-27,1,10,268.49,2013.2,Loja física,203,0.13336479237035564,1,3,850.21,0,2,0,1,471.0,6,6,0,4,4,0.6666666666666666,9.833333333333334,26,59,14.75,26.0,0,0,0,0,751,1,203
C00119,CLI00737,2025-04-14,1,6,338.8,3353.67,Televendas,173,0.10102365468278036,2,3,794.1266666666667,1,1,1,0,48.0,5,5,0,2,2,0.4,4.0,19,20,10.0,19.0,0,0,0,0,562,1,173
C00120,CLI02107,2026-01-26,0,18,120.75,2429.23,Loja física,173,0.049707108836956566,1,0,,0,0,0,0,,5,5,0,2,2,0.4,6.0,22,30,15.0,22.0,1,0,0,0,763,1,175
C00121,CLI02149,2026-01-25,0,18,122.69,2632.17,Loja física,143,0.04661173100521623,1,2,826.325,0,1,0,1,92.0,4,4,0,0,0,0.0,0.0,0,0,,,0,0,1,0,610,1,146
C00122,CLI01828,2025-05-09,1,10,222.71,1840.96,Loja física,293,0.12097492612549975,1,0,,0,0,0,0,,9,9,0,6,6,0.6666666666666666,5.444444444444445,16,49,8.166666666666666,16.0,1,0,0,0,527,1,293
C00123,CLI01593,2026-01-17,1,24,61.59,900.0,Televendas,83,0.06843333333333333,2,4,493.02750000000003,2,1,0,1,405.0,2,2,0,2,2,1.0,18.5,22,37,18.5,22.0,0,0,0,0,739,1,85
C00124,CLI01254,2026-01-22,0,18,304.29,4264.42,Loja física,443,0.07135554190253306,1,3,583.0133333333333,0,0,0,3,115.0,14,14,0,4,4,0.2857142857142857,3.642857142857143,24,51,12.75,24.0,0,0,0,0,624,1,443
C00125,CLI00463,2026-02-02,1,6,194.91,1712.04,Loja física,143,0.11384663909721736,2,4,1306.665,0,3,0,1,99.0,4,4,0,2,2,0.5,9.5,21,38,19.0,21.0,0,2,0,0,721,1,144
